Costco Wholesale,E2590,3959,Costco Wholesale Corporation,15,18,Issaquah,Washington,22
Fannie Mae,E247,924,Fannie Mae,16,17,Washington,District of Columbia,19
Kroger,E386,6275,The Kroger Company,17,20,Cincinnati,Ohio,22
Amazon,E6036,15512,Amazon.com,18,29,Seattle,Washington,15
Walgreens,E716,10643,"Walgreens Boots Alliance, Inc",19,35,Deerfield,Illinois,22
Cardinal Health,E1227,1367,Cardinal Health,21,26,Dublin,Ohio,22
Express Scripts,E2212,2141,Express Scripts Holding Company,22,22,St. Louis,Missouri,17
J P Morgan,E145,9999,JPMorgan Chase & Co.,23,21,New York,New York,22
Boeing,E102,5477,The Boeing Company,24,27,Chicago,Illinois,22
Microsoft,E1651,16048,Microsoft Corporation,25,31,Redmond,Washington,22
Bank of America,E8874,16246,Bank of America Corporation,26,23,Charlotte,North Carolina,22
Wells Fargo,E8876,16609,Wells Fargo & Company,27,30,San Francisco,California,22
The Home Depot,E655,15416,The Home Depot,28,33,Atlanta,Georgia,22
Citi,E8843,7385,Citigroup,29,28,New York,New York,22
Phillips 66,E498821,258,Phillips 66,30,7,Houston,Texas,4
IBM,E354,30277,International Business Machines Corporation,31,24,Armonk,New York,22
Valero Energy,E704,251,Valero Energy Corporation,32,13,San Antonio,Texas,18
Anthem,E925157,814,Anthem,33,38,Indianapolis,Indiana,22
Procter and Gamble,E544,4475,The Procter & Gamble Company,34,32,Cincinnati,Ohio,22
State Farm,E2990,5570,State Farm Insurance Cos.,35,41,Bloomington,Illinois,22
Google,E9079,6115,Alphabet,36,40,Mountain View,California,11
