Ford Motor Company,F:US
Ford Motor Company,F:US
State Farm,BNSBX:US
Dow Chemical,DOWB34:BZ
New York Life Insurance,Issue
HCA Holdings,HCA:US
Nationwide Mutual Insurance Co,Issue
Liberty Mutual Holding,Issue
Teachers Insurance and Annuity Association,Issue
Publix Super Markets,Issue
John Deere,JNJ:US
Northwestern Mutual Life Insurance,Issue
Dupont,DPT:FP
Enterprise Products Partners,EPD:US
Tech Data,CHKP:US
Sears Holdings,SHLD:US
EMC,EMCF:US
Time Warner Cable,TWX:US
Community Health Systems,CYH:US
Staples,S5CONS:IND
Eli Lilly and,LLY:US
Hartford Financial Services Group,HIG:US
Supervalu,SVU:US
Office Depot,ODP:US
DaVita HealthCare Partners,Issue
Synnex,SNX:US
Marsh and McLennan,Issue
Guardian Life Ins Co of America,Issue
Farmers Insurance Exchange,Issue
JC Penney,JCP:US
Computer Sciences,IBM:US
Dominion Resources,DOMR:US
L 3 Communications Holdings,3328:HK
RR Donnelley and Sons,Issue
Hertz Global Holdings,HTZ:US
Navistar International,NAV:US
Owens and Minor,Issue
MasterCard Incorporated,MA:US
Genworth Financial,GNW:US
Autoliv,ALV:US
Corning Incorporated,GLW:US
Peter Kiewit Sons',Issue
Core Mark Holding,COREMKE:LX
Cameron International,Issue
Veritiv Corp,VRTV:US
Laboratory of America Holdings,LH:US
Pacific Life,2601:HK
Jarden,Issue
American Family Insurance Group,Issue
Tenneco,TEN:US
Mutual of Omaha Insurance,Issue
Avon Products,AVP:US
Dillard's,DDS:US
The Jones Financial,IJONEX:US
AK Steel Holding,AKS:US
Spirit AeroSystems Holdings,SPR:US
Expeditors International of Washington,EXPD:US
Anixter International,AXE:US
Fidelity National Information Services,FIS:US
Asbury Automotive Group,ABG:US
JB Hunt Transport Services,JBHT:US
Commercial Metals,CMC:US
Harman International Industries Incorporated,Issue
Baxalta Incorporated,Issue
Barnes and Noble,Issue
Dana Holding,DANA:UH
Windstream Holdings,WIN:US
Starwood Hotels and Resorts Worldwide,Issue
Genesis Healthcare,GEN:US
St Jude Medical,Issue
Insight Enterprises,NSIT:US
CH2M HILL Ltd,Issue
Spectra Energy Corp,SEP:US
KBR,KBRI:IJ
Neiman Marcus Group LTD LLC,Issue
Robert Half International,RHI:US
Pepco Holdings LLC,Issue
Yahoo!,Issue
Berry Plastics Group,Issue
AmTrust Financial Services,AFSI:US
Blackstone Group,BX:US
Securian Financial Group,Issue
Factory Mutual Insurance,Issue
Science Applications International,SAIC:US
McCormick and Incorporated,Issue
MasTec,MTZ:US
Avaya,Issue
Mead Johnson Nutrition,Issue
Tesla Motors,TSLA:US
Cabela's Incorporated,Issue
Nexeo Solutions Holdings LLC,Issue
Ulta Salon Cosmetics and Fragrance,Issue
American Axle and Manufacturing Holdings,Issue
Triumph Group,TGI:US
WhiteWave Foods,Issue
Select Medical Holdings,SEM:US
Towers Watson and Co,Issue
Team Health Holdings,Issue
ADT,ADTM:US
Lexmark International,Issue
Abercrombie and Fitch Co,Issue
Meritor,MTOR:US
PolyOne,POL:US
CACI International,CACI:US
Westinghouse Air Brake Technologies,Issue
Rent A Center,RENTMTF:SS
Fossil Group,FOSL:US
NBTY,Issue
ScanSource,SCSC:US
Groupon,GRPN:US
Ryerson Holding,RYI:US
HealthSouth,HLS:US
SkyWest,SKYW:US
KB Home,KBH:US
International Flavors and Fragrances,Issue
Genesco,GCO:US
Unisys,UIS:US
Brinker International,EAT:US
Cooper Tire and Rubber,Issue
Convergys,CVG:US
IMS Health Holdings,Issue
Gannett Co,GCI:US
Amkor Technology,AMKR:US
Sentry Insurance Group,Issue
Univision Communications,UVEL:LN
Cracker Barrel Old Country Store,CBRL:US
Applied Industrial Technologies,AIT:US
TrueBlue,TBI:US
TriNet Group,TNET:US
Plexus Corp,PLXS:US
Freddie Mac,Issue
INTL FCStone,INTL:US
Tenet Healthcare,THC:US
Baker Hughes Incorporated,BHGE:US
Whole Foods Market,Issue
Performance Food Group,PFGC:US
Cognizant Technology Solutions,CTSH:US
Group 1 Automotive,1316:HK
CST Brands,CSTU:US
Fidelity National Financial,FIS:US
Thrivent Financial for Lutherans,Issue
United Natural Foods,UNFI:US
Ingram Micro,AIP:SJ
United Services Automobile Association,Issue
Molina Healthcare,MOH:US
Reynolds American,RQ4:GR
Sonic Automotive Inc,SAH:US
Avis Budget Group,CAR:US
Lithia Motors,LAD:US
SpartanNash,SPTN:US
Kindred Healthcare,KND:US
Auto Owners Insurance Group,Issue
Cablevision Systems,CVHSY:US
Sanmina,SANM:US
Graybar Electric,Issue
TravelCenters of America LLC,TA:US
Frontier Communications,FTR:US
Lansing Trade Group LLC,Issue
SanDisk,Issue
Kelly Services,KELYA:US
Energy Future Holdings Corp,Issue
Airgas,Issue
ABM Industries Incorporated,ABM:US
Tutor Perini,TPC:US
YRC Worldwide,YRCW:US
Ascena Retail Group,ASNA:US
Caesars Entertainment,CZR:US
Magellan Health,MGLN:US
MRC Global,MRC:US
Keurig Green Mountain,Issue
General Cable,BGC:US
Talen Energy,TALENT:BZ
Valspar,Issue
Bloomin' Brands,BLMN:US
Alon USA Energy,ALDW:US
Swift Transportation,SWIFTNP:SW
Hexion,Issue
AGL Resources,AGL:AU
Dynegy,DYN:US
CNO Financial Group,CNO:US
Axiall,Issue
Ingles Markets Incorporated,IMKTA:US
Crown Castle International Corp,CCI:US
Allegheny Technologies Incorporated,ATI:US
Resolute Forest Products,RFP:US
Boise Cascade,BCC:US
Builders FirstSource,BLDR:US
American Eagle Outfitters,AEO:US
COUNTRY Financial,TWCF:US
Tailored Brands,TLRD:US
Buckeye Partners,BPL:US
Worthington Industries,WOR:US
Joy Global,JOYFICF:BZ
Iasis Healthcare LLC,IAS:US
Oceaneering International,OII:US
Steelcase,SCS:US
Metaldyne Performance Group,Issue
Scripps Networks Interactive,SNI:US
Warner Music Group Corp,Issue
Green Plains,GPRE:US
Alpha Natural Resources,ALHA:US
TECO Energy,TECO:US
Systemax,SYX:US
Triple S Management,AMTH14C:FP
Linn Energy LLC,LNGG:US
Weis Markets,WMK:US
Penn National Gaming,PENN:US
AmSurg Corp,Issue
Sanderson Farms,SAFM:US
Bon Ton Stores,RTTABFD:CH
Scientific Games,SGMS:US
Heartland Payment Systems,Issue
Panera Bread,Issue
ArcBest,ARCB:US
Kennametal,KMT:US
Greenbrier,GBX:US
Alere,ALEREUR:LX
Apollo Education Group,Issue
Meritage Homes,MTH:US
Hyster Yale Materials Handling,Issue
Caleres,BRP:GR
Arch Coal,ARCH:US
Benchmark Electronics,BHE:US
Beacon Roofing Supply,BECN:US
National General Holdings Corp,NGHC:US
Mutual of America Life Insurance,Issue
Southwest Gas,SWX:US
Medical Mutual of Ohio,Issue
Enable Midstream Partners,ENBL:US
Cliffs Natural Resources,Issue
General Growth Properties,GENMOND:FP
California Resources,CRC:US
SPX FLOW,FLOW:US
Stifel Financial Corp,SF:US
Kemper,KMPR:US
Nationstar Mortgage Holdings,NSM:US
inVentiv Health,IVA:FP
Hawaiian Holdings,HA:US
Coca Cola Bottling Co Consolidated,Issue
Vishay Intertechnology,VSH:US
Tetra Tech,TTEK:US
Pinnacle Entertainment,PNK:US
Trimble Navigation Limited,Issue
Penn Mutual Life Insurance Co,Issue
Sears Hometown and Outlet Stores,SHOS:US
Brocade Communications Systems,BRCD:US
Amica Mutual Insurance Co,Issue
Sinclair Broadcast Group,SBGI:US
Boyd Gaming,BYD:US
Outerwall,Issue
Magellan Midstream Partners,MMP:US
Knights of Columbus,KCIVX:US
Symetra Financial,Issue
Hovnanian Enterprises,HOV:US
Herman Miller,MLHR:US
hhgregg,HGGGQ:US
Waste Connections,WCN:CN
Restoration Hardware Holdings,Issue
Mueller Industries,MLI:US
TTM Technologies,TTM:CN
Werner Enterprises,WERN:US
Engility Holdings,EGL:US
NuStar Energy,NS:US
HB Fuller,FUL:US
Vista Outdoor,VSTO:US
On Assignment,ASGN:US
Woodward,WWD:US
Stewart Information Services,STC:US
PharMerica,PMC:US
Wabash National,WNC:US
Ferrellgas Partners,FGP:US
Dycom Industries,DY:US
VeriFone Systems,PAY:US
Genesee and Wyoming,Issue
99 Cents Only Stores LLC,Issue
Roadrunner Transportation Systems,RRTS:US
Super Micro Computer,SMCI:US
Providence Service,PRSC:US
Century Aluminum,CEXT:IN
Primoris Services,PRIM:US
Schnitzer Steel Industries,SCHN:US
Cenveo,CVO:US
BlueLinx Holdings,BXC:US
Revlon,REV:US
DeVry Education Group,Issue
MDC Holdings,MDC:US
EP Energy,EPGRQ:US
DCP Midstream Partners,DCP:US
Briggs and Stratton,Issue
ConAgra Foods,CAG:US
Global Partners,TRBO:US
Western Refining,WNRL:US
Old Republic International,ORI:US
Delek US Holdings,DK:US
Peabody Energy,BTU:US
Calumet Specialty Products Partners,CLMT:US
Sprague Resources,SRLP:US
Darling Ingredients,DAR:US
Diplomat Pharmacy,DPLO:US
Cooper Standard Holdings,Issue
Carlyle Group,CG:US
Northern Tier Energy,NORXX:US
Universal Forest Products,UFPI:US
Superior Energy Services,SPN:US
